Age,ClassName,DepartmentName,Adjectives,Nouns,Seasons
31,dress,Dresses,"glad, detailed, sharp, fabric, great, comfortable, great, versatile, ","i, item, i, online, embroidery, quality, i, size, dress, piece, ",
27,dress,Dresses,"beautiful, perfect, ","embroidery, dress, person, dress, fall, ",fall
41,dress,Dresses,"only, strange, small, big, impressed, ","thing, size, i, size, s, time, way, i, belt, dress, i, sale, antheropologie, time, design, ",
54,blouse,Tops,"top, white, tricky, recommend, ","flattering, cut, fun, summer, i, plata, chevron, skirt, everything, perfect, part, back, stock, retailer, ",summer
69,knit sweater,Tops,"pleased, top, form, definite, go-to, top, great, ","i, lbs, trouble, fitting, %, cotton, plus, ",
31,dress,Dresses,"curvy, 34dd-28-43, great, classic, beautiful, many, ","dress, fall, wedding, i, medium, fit, glove, fabric, vibe, fit, i, top, recommend, ",fall
26,dress,Dresses,"short, i, high, gorgeous, comfortable, i, pretty, ","dress, wedding, petite, online, store, i, sheen, dress, i, curvy, cut, body, ",
39,blouse,Tops,"same, first, favorite, right, gorgeous, hte, black, white, polka, good, ","twice, day, time, i, stylist, dressing, room, time, dind't, stylist, time, difference, hte, htis, i, color, online, i, stell, spring, color, style, ", spring
31,blouse,Tops,"tall, rib, white, pretty, give, flat, sad, ","shirt, moment, i, table, peplum, blouse, cage, waist, shirt, problem, i, polka, corn, flower, blue, color, maeve, i, i, chest, lacy, bralette, shirt, room, anything, thou, ",
61,dress,Dresses,"soft, right, neckline, little, alternative, ","dress, ",
41,pants,Bottoms,"favorite, soft, ","fit, color, material, comfy, pjs, ",
45,dress,Dresses,"only, i, negative, other, large, i, tall, great, high, casual, comfortable, ","i, dress, anything, star, review, thing, dress, i, sz, fit, heel, floor, shine, dress, i, price, dress, ",
41,dress,Dresses,"additional, irresistible, blue-pink, floral, red, upper, bare, warmer, loose, ","rule, polyester, dress, sale, price, percent, promo, print, i, weather, clunky, weather, fit, chest, size, fabric, ",
24,dress,Dresses,"casual, constant, high, nice, overall, great, large, perfect, ","dress, month, retailer, member, day, %, i, chiller, night, denim, jacket, feel, complaint, dress, slit, model, knee.the, cross, fit, im, size, ",
34,blouse,Tops,"top, true, big, wrong, low, perfect, full, able, small, ","size, i, size, i, shoulder, seem, spot, i, shoulder, i, range, motion, pulling, shirt, i, order, size, size, length, front, boxier, feel, ",
35,blouse,Tops,"great, casual, covered, back, perfect, light, embroidered, ","top, spring, i, back, peplum, peplum, front, top, tall, difficulty, length, fabric, weight, ", spring
36,knit sweater,Tops,"ttt, nice, ","tunic, fit, quality, i, piece, ",
32,dress,Dresses,"special, petite, lightweight, soft, ","dress, something, frame, fall, fabric, ",fall
34,blouse,Tops,"top, ","%, cotton, size, store, size, fit, shirt, complement, ",
41,pants,Bottoms,"comfortable, whole, ","wardrobe, ",
41,jeans,Bottoms,,,
37,dress,Dresses,"dressy, casual, right, whole, great, easy, ","love, dress, body, i, velvet, taupe, ankle, strap, in-love, look, dress, hope, sweater, dress, i, fall, winter, ", winterfall
24,dress,Dresses,"engagement, little, worried, comfortable, true, only, missing, extra, ","dress, i, size, complaint, button, sleeve, ",
23,dress,Dresses,"rifle, pretty, delicate, true, i, beautiful, ","paper, i, dress, online, i, dress, person, picture, i, dress, size, baby, doll, dress, fit, dress, closet, ",
28,dress,Dresses,"amazing, rifle, nice, typical, small, fit, fitted, ","dress, i, collaboration, paper, boho, look, xs, well, i, ",
63,dress,Dresses,"perfect, mid-september, transitional, perfect, apparent, festive, ","dress, wedding, i, september, month, fashion-wise, knit, dress, shimmer, website, wedding, ",
27,dress,Dresses,"small, flattering, little, comfy, beautiful, ","love, dress, i, size, love, ",
27,warm jacket,Jackets,"neutral, many, unique, perfect, normal, ","colorblock, color, combo, fit, i, size, medium, ",
27,dress,Dresses,"unique, high, great, ","color, shimmer, dress, kind, slit, photo, online, need, tailor, dress, ",
52,blouse,Tops,"much, aware, little, white, blue, tad, i, timeless, ","cuter, person, picture, person, length, back, design, spring, summer, tight, size, thank, ",summer spring
28,blouse,Tops,"top, classy, white, black, white, sheer, ","timeless, i, version, store, order, ",
44,dress,Dresses,"curvy, perfect, utterly, comfortable, many, ","dress, silhouette, size, medium, length, frame, ",
24,dress,Dresses,"new, i, much, fun, unique, i, many, comfortable, flattering, only, negative, loose, ","dress, friend, work, effort, outfit, pattern, cut, feminine, dress, door, piece, thread, bottom, sleeve, ",
49,sweater,Tops,"versatile, cozy, great, casual, ","top, comfy, day, fun, piece, wardrobe, ",
46,blouse,Tops,"loose, i, true, sleeve, slimming, soft, top, mixed, cutout, soft, ","xl, fit, fit, model, flowy, size, everything, photos, length, hem, neckline, look, i, material, cotton, pattern, lace, portion, embroidery, thread, ",
51,dress,Dresses,"gorgeous, great, light, ","dress, body, belt, dress, shape, color, print, fabric, perfect, summer, ",summer
34,dress,Dresses,"beautiful, good, ","maxi, tts, waist, length, frame, ",
39,dress,Dresses,"perfect, gorgeous, full, sure, i, glad, ","love, color, scheme, reality, retailer, filter, contrast, lining, length, zipper, waist, back, neck, style, throat, i, size, range, i, i, weight, t, ",
39,dress,Dresses,"beautiful, hourglass, easy, many, 8-10, top, 10-12, ","dress, figure, print, person, dress, summer, i, bottom, size, dress, fit, ",summer
41,knit sweater,Tops,"mine, comfy, ","i, plain, sweatshirt, ",
57,thin sweater,Tops,"new, red, first, tts, true, red, neon, nice, ","cardigan, time, today, fit, orange, front, flair, hips.., i, detail, knit, i, fact, day, i, lot, ",
54,knit sweater,Tops,"cute, ","top, daughter, ",
20,thin sweater,Tops,"black, everyday, soft, great, ","sweater, cardigan, skirt, ",
49,thin sweater,Tops,"soft, interesting, classic, small, little, short, i, long-waisted, small, carry, legs.so, small, small, little, high, black, red, ","lot, detail, look, i, model, side, bulk, weight, trim, top, i, medium, sweater, shirt, i, i, orange, ",
49,thin sweater,Tops,"black, soft, regular, i, happy, other, sleeve, regular, small, thin, ","cardigan, store, i, tie, waist, fabric, stretchy, size, fit, waist, hem, hit, length, torso, i, fit, length, i, online, petite, fabric, shape, i, sleev, ",
42,thin sweater,Tops,"good, red, nice, soft, comfortable, ","cardigan, time, sweater, cut, i, go, piece, closet, ",
30,knit sweater,Tops,"comfortable, great, skinny, i, overall, little, long, polished, average, ","small/medium, medium, look, detail, kind, inside, sweatshirt, athleisure, top, ",
30,thin sweater,Tops,"red, similar, other, available, versatile, great, tiny, feminine, flirty, average, cardigan, few, happy, ","cardigan, i, anything, fit, design, i, front, side, bit, flare, bottom, brand, quality, design, ",
23,thin sweater,Tops,"black, camellia, incredible, flowy, small, ","retailer, associate, sweater, topper, i, dropwaist, dress, sale, sweater, embroidery, definition, outfit, i, photo, grey, sweater, size, retailer, fit, well, i, cotton, fiber, content, ver, ",
48,thin sweater,Tops,"red, nice, red, sz, black, lucky, beautiful, ","cardigan, tomato, medium, frame, lbs, style, pant, skirt, dress, order, item, store, order, sale, quality, ",
35,knit sweater,Tops,"such, nice, i, super, comfortable, i, ","surprise, way, sweatshirt, touch, i, cute, bunch, ",
32,knit sweater,Tops,"comfortable, stylish, ","top, i, while, bum, ",
64,thin sweater,Tops,"nice, flattering, long, true, tight, fit, upper, perfect, happy, ","sweater, i, gray, i, time, fit, size, halfway, well, body, illusion, height, weight, season, i, everything, sweater, ",
31,dress,Dresses,"go-to, great, slight, true, short, perfect, functional, i, due, general, ","dress, summer, dress, fabric, amount, stretch, size, arm, rest, fitting, color, darker, moss, brown, retailer, order, online, offlate, %, time, fitting, i, ",summer
43,skirt,Bottoms,"god, first, plenty, great, large, perfect, i, green, much, several, ","i, skirt, order, size, customer, service, i, stretchy, size, fit, i, length, knee-skimmer, color, button, i, closet, skirt, i, ",
53,blouse,Tops,"adorable, classic, regular, cute, i, little, flapper, ","style, top, i, size, i, size, i, size, i, one, fringe, girl, i, sale, pink, color, spring, summer, skirt, ",summer spring
62,skirt,Bottoms,"perfect, great, super, flattering, great, solid, full, sizes, stretchy, comfortable, first, such, great, flattering, ","skirt, cute, fit, length, issue, size, i, order, couple, sizes, size, pilcro, brand, ",
39,pants,Bottoms,"fabulous, long, short, nice, right, ","flow, feel, mind, torso, muscular, style, body, type, hem, legs, i, pleat, kick, pair, ",
39,jacket,Jackets,"super, justifiable, soft, i, ","advantage, sale, weekend, cute, vest, yesterday, purchase, tts, i, cooler, weather, ",
48,pants,Bottoms,"fit, nice, nice, rich, easy, i, 8-10, ","drape, fabric, poly, weight, length, length, color, fall, copper, doubt, size, i, m, size, ",fall
30,jacket,Jackets,"slim, warm, soft, ","vest, xs, lot, puff, ",
55,pants,Bottoms,"i, long, surprised, sleek, generous, comfortable, gray, fantastic, black, dressy, casual, ","sheer, curiosity, torso, flattering, legs, size, waist, bit, fit, waist, room, sweater, tank, rust, perfect, look, ",
40,pants,Bottoms,"amazing, i, wide, short, buttery, soft, elegant, important, type-, i, ","curvy, size, keg, plump, material, hang, way, body, try, ",
70,skirt,Bottoms,"great, good, classic, denim, classic, ","color, summer, right, fall, tee, shirt, plaid, blouse, retro/, look, ",summerfall
63,skirt,Bottoms,"comfortable, roomy, handy, dark, great, black, white, go-to, business-casual, other, i, i, ","skirt, mustard, closet, skirt, fall, office, environment, sizing, stretch, size, medium, size, i, ",fall
41,dress,Dresses,"super, unique, avoid, happy, ","dress, i, hourglass, dress, find, front, dress, i, ",
44,blouse,Tops,"i, i, top, bottom, low, high, black, i, top, tailored, ","petite, waist, size, size, bust, hem, button, neckline, i, lot, darker, color, i, look, t, ",
58,skirt,Bottoms,"green, wrong, good, ","skirt, i, color, thinking, size, figure, i, round, tummy, pocket, flap, side, button, center, skirt, fall, ",fall
52,jacket,Jackets,"small, perfect, soft, i, other, different, other, top, little, high, soft, uniquely, special, ","lbs, i, sister, lbs, fit, i, petite, didnt, notice, fabric, vest, photo, cozy, collar, collar, turtleneck, i, sale, price, ",
53,sweater,Tops,,"sweater, sky, color, rust, ",
54,sweater,Tops,"Soft, sweet, ",,
54,sweater,Tops,"new, first, warm, ","sweater, staple, wardrobe, fit, styling, sight, ",
33,sweater,Tops,"Cute, open, simple, classic, light, ","twist, sweater, weight, ",
41,sweater,Tops,"lovely, super, soft, plenty, definite, ","sweater, i, sky, color, picture, yarn, warm, winter, i, retro, look, keeper, ", winter
55,sweater,Tops,"minimalistic, romantic, last, white, i, wonderful, many, many, ","i, sweater, mother, in-law, i, today, store, i, i, back, i, front, bonus, sweater, i, ",
34,blouse,Tops,"top, big, flowy, i, flattering, skinny, much, 33-25-33, mid, ","i, navy, wine, green, mom, reference, i, lbs, xs, fit, well, thigh, ",
41,knit sweater,Tops,"comfy, stylish, happy, snag, large, perfect, ","sweatshirt, i, item, sweatshirt, ",
36,sweater,Tops,"glad, feminine, neutral, good, metal, heavy, i, only, ","i, i, size, sweater, i, taupe, color, i, quality, i, fabric, heat, humidity, honolulu, i, thing, i, materia, ",
26,blouse,Tops,"i, perfect, subtle, other, flattering, easy, ","tank, online, store, i, ivory, color, gold, cut, cardigan, ",
54,blouse,Tops,"nice, great, skinny, opaque, great, navy, much, green, red, pricey, great, perfect, mid-thigh, ","love, love, tunic, picture, jean, work, i, blue, heart, print, i, i, sale, top, reference, i, way, length, ",
26,blouse,Tops,"tunic, great, red, green, true, super, impressive, good, red, navy, ","person, ruffle, bottom, flattering, construction, tunic, i, ",
65,sweater,Tops,"comfortable, attractive, flat, great, attractive, comfortable, ","sweater, neckline, one, photo, sweater, quality, ",
35,sweater,Tops,"right, enough, stylish, cool, too-heavy, makes-you-feel-dumpy, short, ","look, online, person, length, medium, weight, interest, exposure, option, night, category, sweater, ",
34,blouse,Tops,"favorite, stylish, unique, beautiful, full, i, normal, pleased, ","love, shirt, online, retailer, place, bit, bottom, s, ",
32,blouse,Tops,"classic, tunic, delicate, ","style, silhouette, gold, person, online, ",
31,dress,Dresses,"Easy, new, ","lot, style, basic, ",
60,sweater,Tops,"many, true, soft, easy, great, ","sweater, size, unique, design, versatile, back, front, skirt, dress, work, date, night, look, i, sweater, ",
56,sweater,Tops,"new, favorite, soft, comfortable, easy, able, different, easy, ","sweater, work, play, ",
28,sweater,Tops,"much, white, cute, great, bay, normal, roomy, white, pretty, great, regular, ","taupe, i, week, weight, spring/summer, weather, area, taupe, medium, bit, medium, petite, advice, today, order, size, size, ",summer spring
27,blouse,Tops,"green, soft, little, untucked, cute, ","top, comfy, skirt, ",
23,blouse,Tops,"super, i, light, perfect, warm, ","top, versatile, weekend, work, appropriate, weather, ",
35,dress,Dresses,"great, soft, similar, other, only, great, bad, ","dress, fabric, cloth, stone, i, usa, wish, chambray, version, chest, china, ",
59,blouse,Tops,"i, light, perfect, great, i, different, ","drape, shirt, tail, fabric, fall, transition, california, sweater, winter, ", winterfall
66,blouse,Tops,"great, quirky, top, ","cotton, shirt, bit, ",
36,dress,Dresses,"small, i, xs, fit, fine, closed, i, ok, ","dress, dressing, room, price, tag, store, xs, wrap, i, dress, snap, chest, i, tag, love, dress, store, purchasing, i, ",
50,blouse,Tops,"top, loose, flowy, nice, small, narrow, classic, wow, social, work, appropriate, complimentary, many, juuuuussst, top, ","tts, model, cut/details/flounce, shape, s, m, retailer, style/make, ruler, shape, gaping, front, factor, top, body, neckline, button, ",
38,knit sweater,Tops,"beautiful, i, large, small, unheard, great, ","top, love..but.., i, retailer, im, med, quality, size, ",
28,thin sweater,Tops,"petite, gorgeous, soft, great, little, short, i, short, high-waited, big, ","xs, quality, caveat, torso, pants/skirt, deal, ",
62,knit sweater,Tops,"new, favorite, white, loose, flowy, effortless, usual, thin, ","top, closet, fit, quality, fabric, versatility, anyone, wardrobe, i, size, i, size, roomy, torso, everyone, beauty, ",
42,thin sweater,Tops,"much, i, small, flowy, soft, ","blue, store, hubby, raspberry, online, i, medium, fabric, lot, fall, ",fall
32,blouse,Tops,"lovely, good, top, wide, ","top, quality, i, size, model, photos, i, shape, shape, ",
33,dress,Dresses,"favorite, whole, full, large, i, nice, substantial, great, great, weird, ","dress, purchase, year, dream, i, store, price, size, i, sale, i, glad, i, i, fabric, weight, fall, fit, a-line, ",fall
37,jeans,Bottoms,"fitted, i, nice, straight, little, past, unrolled, i, ","i, i, look, dark, wash, size, fit, fit, ankle, row, ",
32,jeans,Bottoms,"large, great, cute, little, ","pilcro, size, waist, dark, denim, color, ",
42,knit sweater,Tops,"Much, ","fabric, i, ",
52,thin sweater,Tops,"super, soft, comfortable, normal, navy, ","sweater, i, size, s, xs, xs, s, bit, wider, look, color, ",
51,blouse,Tops,"3-season, light-weight, double, emphasizes, nice, flaws, 6-8, small, ","top, dress, bra, protection, length, medium, ",
34,knit sweater,Tops,"top, simple, versatile, white, i, small, other, ","box, contrast, shapeless, i, i, love, shirt, i, year, style, i, i, ",
31,thin sweater,Tops,"usual, small, i, flowy, big, beautiful, ","medium, size, truly, size, body, sweater, fit, sweater, legging-, ",
43,blouse,Tops,"top, pictured, happy, online, top, soft, silky, usual, tight, ","lilac, color, shade, darker, velvet, lining, model, i, pxs, size, neck, bit, ",
56,blouse,Tops,"next, lightweight, perfect, true, comfy, ","blouse, definition, plaid, lumberjack.., living, l.a., day, fabric, climate, size, thinking, dinner, ",
26,knit sweater,Tops,"much, top, flattering, soft, bottom, sheer, different, top, stretchy, wonderful, bad, top, ","i, i, half, fabric, thing, i, day, store, prone, style, shirt, kind, unfortunate, ",
42,blouse,Tops,"good, great, rare, top, beautiful, lightweight, voile-like, soft, top, pretty, ","star, value, style, person, cotton, drapey, base, layer, sheer, crochet, lace, fit, tts, ",
41,blouse,Tops,"special, great, super, ordinary, tts, l., wrist, ","lot, i, anything, blouse, find, nothing, fit, i, i, m, l, room, body, i, length, ",
48,skirt,Bottoms,"local, great, negative, pricy, i, birthday, online, slim, admirin, ","skirt, size, retailer, store, i, website, person, i, style, figure, i, mohair, weave, color, block, skirt, discount, size, skirt, return, sale, size, i, ",
51,thin sweater,Tops,"unique, typical, patterned, i, i, pleased, ","sweater, picture, detail, neckline, hemline, sweater, ",
25,thin sweater,Tops,"unique, little, short, minor, neutral, colored, festive, ","sweater, vibrant, colours, pattern, i, love, comfort, quality, design, issue, undershirt/camisole, cuffed, matching, pattern, xs, s, retailer, m, one, winter, piece, o, ", winter
66,blouse,Tops,"flattering, large, soft, uncertain, glad, nice, ","blouse, size, order, fabric, %, cotton, gauzy, light, skin, i, bit, bit, way, i, back, blouse, lightness, fabric, ",
65,jeans,Bottoms,"tricky, baggy, lovely, supercute, soft, contrived, perfect, recommend, ","boyfriend, bill, side, view, silhouette, front, silhouette, i, i, picture, denim, creasing, size, fit, ",
28,knit sweater,Tops,"comfortable, good, i, heavy, skinny, ","shirt, flattering, quality, size, jeans/jeggings.., ",
39,dress,Dresses,"correct, great, comfortable, casual, ","i, dress, life, i, wardrobe, nothing, love, dress, fit, silhouette, fabric, shape, cut, style, i, body, ",
29,knit sweater,Tops,"premium, backside, flowy, true, small, new, favorite, cabled, ","blouse, i, size, chest, size, i, knit, bomber, ",
35,jacket,Jackets,"perfect, super, easy, true, average, small, long, sleeved, thin, i, tight, inner, ","anorak, perfection, weight, color, style, size, build/frame, i, size, i, shirt, underneath, sweater, shoulders/bust, shape, i, %, promo, ",
44,blouse,Tops,"top, nice, first, ","top, smell, ",
52,knit sweater,Tops,"subtle, classy, xs, poor, genetic, nice, ","shirt, lbs, fit, back, cover, posture, i, ",
42,blouse,Tops,"petite, broad, small, similar, online, glad, ","person, size, i, person, anything, i, ",
22,skirt,Bottoms,"only, i, i, light, i, ","skirt, thing, reference, sweater, anything, size, ",
32,blouse,Tops,"petite, regular, flowy, i, tailored, cute, dark, flare, ","online, store, i, length, bit, trend, ",
39,skirt,Bottoms,"great, casual, petite, nice, i, leaning, snug, tight, soft, i, ","skirt, i, taupe, skirt, slate, color, fit, waist, fabric, fall, lbs, waist, ",fall
34,skirt,Bottoms,"other, small, small, structured, great, ","skirt, i, size, waist, skirt, drape, skirt, tie, i, year, round, ",
60,skirt,Bottoms,"soft, flowy, nice, a-line, other, small, ","skirt, material, shape, i, bit, i, waist, ",
62,blouse,Tops,"large, broad, big, petit, great, heavy, hot, ","medium, cooler, cotton, weather, intexas, ",
70,blouse,Tops,"top, different, timely, ","style, nothing, anything, manner, recommend, ",
28,skirt,Bottoms,"usual, perfect, i, .can, ","skirt, i, size, length, color, slate, ",
43,skirt,Bottoms,"local, many, many, short, tan, ","skirt, store, retailer, tee, tank, denim, shirt, i, time, i, fit, work, ",
33,skirt,Bottoms,"Such, cute, tropical, true, ","skirt, touch, whimsy, flare, size, ",
42,blouse,Tops,"top, i, little, short, i, long-waisted, small, ","embroidery, fit, top, xsmall, fit, length, way, model, ",
46,sweater,Tops,"glad, perfect, ","i, sweater.it, ",
36,skirt,Bottoms,"true, regular, i, short, perfect, vibrant, great, unique, i, ","size, size, im, size, knee, bold, color, quality, ahtro, shot, ",
26,skirt,Bottoms,"rough, local, retail, lightweight, comfortable, substantial, gorgeous, ","day, office, retailer, therapy, i, skirt, price, material, work, fit, i, waist, size, color, mustard, ",
31,skirt,Bottoms,"vibrant, hard, happy, i, petite, i, regular, great, beautiful, steep, ","skirt, store, spring, fashion, show, length/proportion, build, size, fit, length, bit, elegance, skirt, length, price, bit, quality, material, one, ", spring
78,warm jacket,Jackets,"next, beautiful, big, beautiful, .chic, elegant, ","gala, weekend, cape, fan, nanette, lepore, clothing, cape, ",
32,skirt,Bottoms,"many, good, hip, heavy, extra, willing, personal, regular, extra, ","skirt, circle, skirt, se, volume, circle, skirt, description, a-line, i, knee, dress, skirt, preference, i, i, size, length, knee, perfect, ",
40,knit sweater,Tops,"i, add-on, free, only, warm, fleece-lined, right, subtle, much, soft, usual, ","sweater, so, i, shipping, piece, i, order, sweatshirt, amount, billow, part, lavender, color, i, i, lavender, i, attention, piece, color, texture, reference, xs, ",
22,skirt,Bottoms,"worked, tiny, ","perfecto, bit, room, shirt, ",
53,jacket,Jackets,"nice, fall-season, due, different, silky, rich, blue, black, white, subtle, hard, li, ","i, petite, option, length/volume, kimono, fabric, content, wispy, fabric, weight, stiffness, drape, model, fabric, body, look, body, blend, tan, silver, ",
26,skirt,Bottoms,"beautiful, tts, couple, ","while, print, person, fit, size, ",
62,skirt,Bottoms,"Fabulous, great, super, versatile, i, regular, short, tall, wide, cropped, retro, original, ","fabric, comfy, love, love, skirt, i, knee, bit, waistband, bit, top, button, i, texture, fabric, print, packaging, everything, ",
54,blouse,Tops,"texas, cheap, new, unique, ","girl, hand, mexico, treat, style, level, quality, fabric, workmanship, sleeveless, design, perfection, ",
35,skirt,Bottoms,"beautiful, wide, few, striped, great, usual, ","skirt, waistband, i, bit, tummy, belt, i, mail, closet, skirt, tee, chambray, top, belt, denim, jacket, quality, waist, size, i, petite, couple, ",
37,sweater,Tops,"small, glad, other, ","i, size, m, i, tad, yellow, ",
31,skirt,Bottoms,"hippy, lightweight, flowing, great, many, top, casual, favorite, ","skirt, cut, fabric, structure, i, clothing, article, closet, ",
31,skirt,Bottoms,"stiff, nice, casual, relaxed, ","skirt, perfection, fit, perfect, picture, justice, i, picture, case, skirt, summer, blouse, tee, i, lot, use, piece, ",summer
39,knit sweater,Tops,"hi-lo, mock, wide, low, oversize, overwhelming, sloppy, ","sweatshirt, spacedye, hem, neck, neck, cocoon-y, i, step, pair, whip, hair, bun, head, ",
27,knit sweater,Tops,"super, tank-, good, flowy, good, ","cute, airy, i, mind, summer, ",summer
34,sweater,Tops,"great, comfy, several, beware, cute, ","sweater, fall, winter, sweater, neck, neck, bit, turtleneck/mock, neck, look, look, sweater, ", winterfall
36,blouse,Tops,"top, high, good, skinny, structured, voluminous, sharp, ","everything, volume, pant, pant, feminine, juxtaposition, ",
33,knit sweater,Tops,"top, soft, great, great, long, i, ","comfy, length, back, ",
54,skirt,Bottoms,"great, white, blue, great, neutral, white, blue, jean, little, i, many, ","today, find, i, blouse, polka, pair, anything, skirt, stretch, hourglass, figure, type, body, season, skirt, perfect, ",
44,blouse,Tops,"teen, plaid, feminine, high, low, comfortable, new, black, friday, red, ","daughter, look, lumberjack, look, machine, washable, lot, use, purchase, item, discount, yay, color, ",
28,dress,Dresses,"small, perfect, little, large, right, i, right, ","dress, winter, wedding, i, i, size, size, i, champagne, color, shine, ", winter
53,dress,Dresses,"comfortable, tight, ","dress, material, cut, floor, ",
39,blouse,Tops,"petite, glad, regular, back, nice, calsual, casual, hte, nice, ","side, size, i, petite, i, size, length, bum, orange, dressy, shiryt, i, orange, ",
47,blouse,Tops,"great, ","shirt, quality, one, i, ",
41,knit sweater,Tops,"much, great, comfy, flattering, green, lovely, great, dress, great, great, ","shirt, i, something, lighter, autumn, i, tshirt, material, figure, i, person, online, color, length, wearer, wrap, prod, ", autumn
48,blouse,Tops,"top, new, traditional, pricey, thick, traditional, feminine, sexy, comfortable, regular, small, wish, petite, i, small, roomy, ","take, flannel, flannel, flannel, shirt, husband, i, x-small, reference, i, ",
52,blouse,Tops,"top, small, waisted, small, ","i, front, i, medium, order, ",
66,skirt,Bottoms,"amazing, exciting, flattering, light, ","skirt, pattern, weight, flimsy, deal, breaker, i, ",
60,knit sweater,Tops,"green, extra, small, normal, i, awesome, amazing, flattering, soft, ","chance, size, size, thought, i, sweater, liner, cut, fabric, top, ",
35,blouse,Tops,"casual, soft, unique, cozy, nice, big, ","winter, day, fabric, look, bit, size, ", winter
47,blouse,Tops,"gorgeous, super, soft, right, true, fit, perfect, ","buttondown, i, mix, blue, brown, fabric, shirt, size, i, xxs, petite, one, winner, ",
41,blouse,Tops,"super, typical, straight, ","top, blue/orange, plaid, cute, i, style, button, ",
41,knit sweater,Tops,"first, i, thin, vertical, perfect, much, ","sweater, ribbing, effect, lightweight, anything, ",
45,knit sweater,Tops,"soft, gorgeous, fit, beautiful, transitional, worn, multiple, ","sweater, brand, frame, perfect, color, i, ",
56,sweater,Tops,"soft, feminine, soft, ","sweater, person, picture, medium, sweater, i, ",
38,knit sweater,Tops,"great, loose, shapeless, cute, ","top, body, bottom, tie, neck, personality, bounce, s, xs, i, xs, store, s, ",
53,knit sweater,Tops,"top, great, elegant, great, beautiful, ","n, workplace, night, quality, fabric, love, love, ",
50,blouse,Tops,,"fit, ",
69,knit sweater,Tops,"soft, comfortable, dressy, i, other, several, thin, thin, only, black, black, faded, brownish, black, obvious, black, ","sweater, occasion, course, dress, i, side, thing, i, ",
58,knit sweater,Tops,"basic, black, beautiful, i, other, perfect, ","cardigan, fabric, xsmall, retailer, clothing, i, size, i, xsmall, petite, ",
32,pants,Bottoms,"similar, true, fantastic, small, other, ","gray, i, pair, size, quality, side, frame, i, problem, i, ",
50,knit sweater,Tops,"great, ","tie, neck, trend, jacket, cardi, keeper, ",
47,knit sweater,Tops,"pretty, own, all-year, ","blouse, i, neck, tie, interest, i, round, i, xxs, perfect, ",
71,knit sweater,Tops,"extra, small, humble, versatile, olive, black, useful, ","tee, button, cute, sweater, i, ",
50,knit sweater,Tops,"top, comfortable, top, structured, ","love, jersey, knit, print, design, side, bow, i, issue, hem, fact, ",
36,skirt,Bottoms,"cute, wide, great, true, great, ","skirt, front, bit, size, someone, order, size, ",
43,pants,Bottoms,"few, consistent, own, normal, little, ","pair, charlie, thing, i, fit, pair, orange, gray, snug, try, size, ",
34,pants,Bottoms,"cute, other, normal, fit, happy, athletic, ","orange, i, order, size, tts, fabric, fit, color, i, build, side, zip, waist, hip, ",
45,pants,Bottoms,"charlie, i, few, i, nice, flat, wish, side, flattering, usual, perfect, regular, fine, much, ","past, quality, style, fit, side, zip, front, result, i, size, fit, i, length, height, grey, stripe, i, i, order, pair, orange, ",
47,knit sweater,Tops,"soft, functional, i, ","i, way, ",
37,knit sweater,Tops,"top, i, beautiful, ","i, xs, s, xs, deletta, i, ",
24,dress,Dresses,"small, small, flowy, soft, i, delicate, soft, quality, lining, mid, ","dress, online, size, chart, size, medium, i, size, look, i, medium, everything, dress, ribbon, material, dress, floor, i, i, ankle, length, ",
33,dress,Dresses,"small, i, flowy, tent-like, great, pre-fall, ","dress, tent, fit, tall, kind, battle, head, curvy, bust, i, review, i, dress, today, fit, i, i, piece, jean, jacket, ",
42,jacket,Jackets,"other, nice, ","jacket, person, model, jacket, model, justice, ",
48,dress,Dresses,"beautiful, such, gorgeous, flowy, right, i, perfect.., ","dress, slip, length, petite, beach, ",
32,dress,Dresses,"light, beautiful, available, local, i, great, warm, bea, ","model, shape, dress, i, store, online, medium, i, skirt, fabric, photos, time, lining, knee, summer, shrug, summer, wedding, pattern, ",summer
33,dress,Dresses,"cute, screams, stripped, true, ","dress, summer, skirt, dimension, maxi, length, effortless, fun, ",summer
31,jacket,Jackets,"great, ","blazer, perfect, work, statement, ",
47,dress,Dresses,"substantial, good, straight, clingy, roomy, ","i, dress, i, weight, fabric, light, gauzy, photos, appear, way, i, cut, swing, i, lining, bit, body, look, lot, way, photo, i, i, ",
46,dress,Dresses,"perfect, super-hot, tail, regular, small, a-line, top, tent, due, ","dress, flowy, fit, end, summer, form, fitting, dress, size, medium, size, chest, lot, opinion, abundance, fabric, fact, lot, roomy, lot, cut, embroidery, ",summer
30,dress,Dresses,"engagement, i, glad, favorite, ","dress, photoshoot, i, beautiful, dress, ",
64,dress,Dresses,"previous, snug, same, shoulders.the, beautiful, ","fit, length, width, material, purchase.it, photo, ",
52,blouse,Tops,"top, skin, neutral, great, skinny, strappy, perfect, ","tank, eye, couple, embroidery, beautifu, tone, bottom, top, bottom, ",
40,dress,Dresses,"different, gorgeous, much, beautiful, back, ","dress, blue, bottom, brighter, blue, person, site, dress, blue, line, dress, movement, nothing, underneath, i, back, way, strapless, bra, showing, sizing, bi, ",
24,knit sweater,Tops,"other, easy, comfy, normal, fantastic, form, flattering, i, ","top, i, chest, i, medium, i, look, ease, top, ",
